id;fk_user_company;created;banned;first_name;last_name;password;user_name;balance;photo
1;1;2023-04-24 10:38:47;;Johny;Brito;$2a$10$SSoxW3CmuDgjrq7FmXmI4.bMgeKjWQik4SyJrXLF4v8pQxhZjWTJ6;User1;98208.97;true
2;;2022-09-14 13:10:42;;Admin;Admin;$2a$10$uKX.Z/sdYM6D/PlRsslU.OsI9OF.dwE3TethL4vrW/2TEAf/Pb/Pu;Admin;;true
3;;2022-01-19 08:31:54;;Bryon;Ruthen;$2a$10$SSoxW3CmuDgjrq7FmXmI4.bMgeKjWQik4SyJrXLF4v8pQxhZjWTJ6;User2;1600.04;true
4;2;2023-09-02 02:25:29;;Mitzi;Hunnam;$2a$10$SSoxW3CmuDgjrq7FmXmI4.bMgeKjWQik4SyJrXLF4v8pQxhZjWTJ6;User3;2576.05;true
5;;2022-03-03 03:00:10;;Donny;Tosh;$2a$10$SSoxW3CmuDgjrq7FmXmI4.bMgeKjWQik4SyJrXLF4v8pQxhZjWTJ6;User4;568.9;true
6;;2023-10-07 14:30:53;;Raleigh;Gajownik;$2a$10$SSoxW3CmuDgjrq7FmXmI4.bMgeKjWQik4SyJrXLF4v8pQxhZjWTJ6;User5;1900.13;true
7;;2022-12-15 23:50:08;;Albina;Blais;$2a$10$SSoxW3CmuDgjrq7FmXmI4.bMgeKjWQik4SyJrXLF4v8pQxhZjWTJ6;User6;334.21;true
8;;2023-04-02 19:57:19;;Elie;Belitz;$2a$10$SSoxW3CmuDgjrq7FmXmI4.bMgeKjWQik4SyJrXLF4v8pQxhZjWTJ6;User7;1256.24;true
9;3;2022-12-30 21:25:03;;Myron;Liffey;$2a$10$SSoxW3CmuDgjrq7FmXmI4.bMgeKjWQik4SyJrXLF4v8pQxhZjWTJ6;User8;3623.96;true
10;;2022-04-20 10:34:56;;Tamarah;Field;$2a$10$SSoxW3CmuDgjrq7FmXmI4.bMgeKjWQik4SyJrXLF4v8pQxhZjWTJ6;User9;393.1;true
11;;2023-02-04 09:01:38;;Jessee;Poley;$2a$10$SSoxW3CmuDgjrq7FmXmI4.bMgeKjWQik4SyJrXLF4v8pQxhZjWTJ6;User10;1000;true
12;;2023-05-27 00:30:06;;Luther;Pryor;$2a$10$SSoxW3CmuDgjrq7FmXmI4.bMgeKjWQik4SyJrXLF4v8pQxhZjWTJ6;User11;1000;true
13;;2023-11-05 15:19:49;;Inglebert;Fiske;$2a$10$SSoxW3CmuDgjrq7FmXmI4.bMgeKjWQik4SyJrXLF4v8pQxhZjWTJ6;User12;1000;true
14;;2022-11-20 16:03:53;;Odella;Reville;$2a$10$SSoxW3CmuDgjrq7FmXmI4.bMgeKjWQik4SyJrXLF4v8pQxhZjWTJ6;User13;1000;true
15;;2022-12-29 20:11:57;;Cindelyn;Cheyenne;$2a$10$SSoxW3CmuDgjrq7FmXmI4.bMgeKjWQik4SyJrXLF4v8pQxhZjWTJ6;User14;500.05;true
16;;2023-01-10 05:31:42;;Cyndi;Staniforth;$2a$10$SSoxW3CmuDgjrq7FmXmI4.bMgeKjWQik4SyJrXLF4v8pQxhZjWTJ6;User15;1000;true
17;;2023-07-30 08:43:08;;Maisie;Wistance;$2a$10$SSoxW3CmuDgjrq7FmXmI4.bMgeKjWQik4SyJrXLF4v8pQxhZjWTJ6;User16;1000;true
18;;2022-08-18 02:09:29;;Lon;Irons;$2a$10$SSoxW3CmuDgjrq7FmXmI4.bMgeKjWQik4SyJrXLF4v8pQxhZjWTJ6;User17;900.21;true
19;;2022-05-17 21:08:49;;Rosalyn;Boost;$2a$10$SSoxW3CmuDgjrq7FmXmI4.bMgeKjWQik4SyJrXLF4v8pQxhZjWTJ6;User18;771.42;true
